record_id,agent_id,agent_name,customer_id,policy_id,license_status,license_expiry_date,premium_collected,premium_deposited_with_insurer,customer_aware_of_agent_status,complaint_count,agent_office_city,fraud_flag,fraud_type
GB000019,AGT00348,Tanveer Radhakrishnan,CUST002409,,Valid,23-08-2025,89251,TRUE,TRUE,0,Bengaluru,FALSE,None
GB000020,AGT00027,Tarak Patla,CUST002494,,Fake/Cloned,18-06-2025,28124,TRUE,FALSE,1,Nagpur,TRUE,Expired License Sales
GB000021,AGT00043,Nimrat Memon,CUST000148,POL000528,Suspended,06-11-2024,24403,TRUE,FALSE,8,Indore,TRUE,Unlicensed Selling
GB000022,AGT00211,Anvi Raman,CUST001301,POL000432,Valid,28-03-2025,3422,TRUE,TRUE,0,Mumbai,FALSE,None
GB000023,AGT00290,Thomas Sawhney,CUST001599,POL000371,Valid,22-03-2024,130457,TRUE,TRUE,1,Indore,FALSE,None
GB000024,AGT00150,Alka Palla,CUST002604,,Valid,23-04-2024,106894,TRUE,TRUE,0,Ahmedabad,FALSE,None
GB000025,AGT00156,Wishi Din,CUST000708,,Valid,03-07-2020,145527,TRUE,TRUE,1,Pune,FALSE,None
GB000026,AGT00236,Kavya Balan,CUST001731,,Valid,12-02-2023,76068,TRUE,TRUE,1,Chandigarh,FALSE,None
GB000027,AGT00191,Gunbir Mannan,CUST002103,POL000217,Fake/Cloned,27-11-2025,145613,TRUE,FALSE,4,Coimbatore,TRUE,Fake/Cloned Agent Identity
GB000028,AGT00005,Farhan Raja,CUST000444,POL000885,Expired,19-05-2024,147553,FALSE,FALSE,0,Nagpur,TRUE,Premium Pocketing - No Remittance
GB000029,AGT00043,Nimrat Memon,CUST000148,POL000528,Suspended,12-01-2022,43478,TRUE,TRUE,2,Indore,FALSE,None
GB000030,AGT00217,Isha Dewan,CUST000092,POL000253,Valid,17-05-2026,39593,TRUE,TRUE,1,Nagpur,FALSE,None
GB000031,AGT00304,Leena Sawhney,CUST001881,,Valid,26-03-2020,73296,TRUE,TRUE,1,Pune,FALSE,None
GB000032,AGT00293,Chatura Pal,CUST001996,POL000944,Valid,17-05-2020,42670,TRUE,TRUE,1,Coimbatore,FALSE,None
GB000033,AGT00281,Nitara Yadav,CUST002300,POL000362,Valid,17-03-2020,21954,TRUE,TRUE,0,Delhi,FALSE,None
GB000034,AGT00298,Wahab Sarraf,CUST001745,POL000718,Valid,14-06-2025,34341,TRUE,TRUE,1,Indore,FALSE,None
GB000035,AGT00010,Anvi Butala,CUST001478,POL000712,Suspended,06-03-2023,28419,FALSE,TRUE,6,Indore,TRUE,Premium Pocketing - No Remittance
GB000036,AGT00340,Pooja Mandal,CUST002692,POL000895,Fake/Cloned,14-02-2022,50659,TRUE,FALSE,5,Lucknow,TRUE,Expired License Sales
GB000037,AGT00339,Kamya Sagar,CUST000561,,Valid,13-10-2022,134294,TRUE,TRUE,0,Coimbatore,FALSE,None
GB000038,AGT00197,Vedhika Iyer,CUST000271,POL000583,Expired,06-04-2020,57840,TRUE,FALSE,6,Pune,TRUE,Unlicensed Selling
GB000039,AGT00097,Sneha Varghese,CUST000997,,Valid,21-09-2022,67323,TRUE,TRUE,0,Pune,FALSE,None
GB000040,AGT00222,Max Pandey,CUST000198,POL000369,Never Issued,03-04-2024,94901,TRUE,FALSE,2,Mumbai,FALSE,None
GB000041,AGT00208,Yasti Iyer,CUST000059,,Fake/Cloned,29-10-2022,103971,TRUE,TRUE,2,Chandigarh,FALSE,None
GB000042,AGT00087,Chaman Butala,CUST000210,POL000110,Expired,23-03-2020,117921,TRUE,FALSE,2,Ahmedabad,FALSE,None
GB000043,AGT00226,Pranit Tripathi,CUST002933,,Valid,25-09-2025,26162,TRUE,TRUE,1,Ahmedabad,FALSE,None
GB000044,AGT00305,Udarsh Jha,CUST001878,POL000346,Valid,15-03-2024,77893,TRUE,TRUE,0,Kochi,FALSE,None
GB000045,AGT00309,Tarak Bala,CUST002886,POL000310,Fake/Cloned,05-03-2021,46569,TRUE,FALSE,1,Jaipur,TRUE,Expired License Sales
GB000046,AGT00017,Anthony Sachdev,CUST002408,POL000178,Valid,18-01-2023,118937,TRUE,TRUE,0,Lucknow,FALSE,None
GB000047,AGT00077,Charles Lad,CUST001191,,Suspended,27-05-2021,28277,TRUE,FALSE,5,Pune,FALSE,None
GB000048,AGT00251,Farhan Datta,CUST001422,POL000378,Fake/Cloned,06-04-2025,105375,TRUE,FALSE,8,Pune,TRUE,Fake/Cloned Agent Identity
GB000049,AGT00330,Viraj Contractor,CUST000967,,Valid,24-08-2024,86956,TRUE,TRUE,1,Lucknow,FALSE,None
GB000050,AGT00195,Laban Kapoor,CUST002993,,Expired,15-08-2024,58899,TRUE,FALSE,8,Delhi,FALSE,None
GB000051,AGT00264,Forum Bhatia,CUST001926,POL000513,Valid,29-03-2025,13167,TRUE,TRUE,1,Nagpur,FALSE,None
GB000052,AGT00006,Kalpit Setty,CUST002756,POL000564,Valid,19-10-2021,46350,TRUE,TRUE,1,Pune,FALSE,None
GB000053,AGT00228,Netra Bir,CUST000520,POL000811,Never Issued,08-10-2021,147662,TRUE,FALSE,3,Kolkata,TRUE,Unlicensed Selling
GB000054,AGT00369,Upma Chaudhuri,CUST001419,POL000561,Expired,08-03-2022,28883,TRUE,FALSE,6,Lucknow,TRUE,Unlicensed Selling
GB000055,AGT00250,Prisha Puri,CUST002101,POL000363,Suspended,17-03-2020,15374,TRUE,TRUE,0,Jaipur,TRUE,Unlicensed Selling
GB000056,AGT00353,Edhitha Luthra,CUST001625,,Suspended,29-10-2025,25551,TRUE,TRUE,7,Jaipur,FALSE,None
GB000057,AGT00209,Varsha Mann,CUST001807,,Valid,09-12-2024,95188,TRUE,TRUE,1,Chandigarh,FALSE,None
GB000058,AGT00324,Tejas Rege,CUST000263,,Valid,11-01-2022,121766,TRUE,TRUE,1,Lucknow,FALSE,None
GB000059,AGT00046,Quincy Parmar,CUST002157,POL000985,Valid,10-05-2023,149917,TRUE,TRUE,0,Indore,FALSE,None
GB000060,AGT00045,Pranit Naidu,CUST001455,,Valid,10-01-2024,88834,TRUE,TRUE,1,Lucknow,TRUE,Expired License Sales
GB000061,AGT00044,Mitali Balan,CUST000046,POL000922,Valid,16-04-2020,7352,TRUE,TRUE,1,Pune,FALSE,None
GB000062,AGT00186,Joshua Memon,CUST002802,POL000083,Valid,22-08-2022,101475,TRUE,TRUE,0,Nagpur,FALSE,None
GB000063,AGT00126,William Garde,CUST002244,,Valid,08-08-2023,112566,TRUE,TRUE,1,Hyderabad,FALSE,None
GB000064,AGT00270,Inaya Sankar,CUST000354,,Valid,31-12-2024,58080,TRUE,TRUE,1,Jaipur,FALSE,None
GB000065,AGT00344,Naveen Pillay,CUST003141,POL000309,Valid,16-11-2021,9594,TRUE,TRUE,1,Ahmedabad,FALSE,None
GB000066,AGT00232,Warjas Cheema,CUST002934,,Valid,29-07-2022,9475,TRUE,TRUE,1,Kolkata,FALSE,None
GB000067,AGT00084,Wridesh Sridhar,CUST002675,POL000730,Valid,07-11-2020,130599,TRUE,TRUE,1,Delhi,FALSE,None
GB000068,AGT00356,Tamanna Murty,CUST000941,,Valid,24-09-2021,89035,TRUE,TRUE,0,Kochi,FALSE,None
GB000069,AGT00197,Vedhika Iyer,CUST000271,POL000583,Never Issued,29-10-2021,96983,FALSE,FALSE,1,Pune,TRUE,Premium Pocketing - No Remittance
GB000070,AGT00270,Inaya Sankar,CUST000987,POL000445,Valid,21-08-2021,76923,TRUE,TRUE,1,Jaipur,FALSE,None
GB000071,AGT00340,Pooja Mandal,CUST002963,,Fake/Cloned,20-12-2023,3670,TRUE,FALSE,5,Lucknow,FALSE,None
GB000072,AGT00375,Jagat Nayar,CUST000047,,Valid,18-02-2021,60263,TRUE,TRUE,1,Kolkata,FALSE,None
GB000073,AGT00191,Gunbir Mannan,CUST000864,POL000097,Fake/Cloned,22-03-2024,36316,TRUE,TRUE,6,Coimbatore,FALSE,None
GB000074,AGT00309,Tarak Bala,CUST000753,,Never Issued,10-02-2022,19710,TRUE,FALSE,6,Jaipur,TRUE,Expired License Sales
GB000075,AGT00210,Harish Tailor,CUST001333,,Valid,18-01-2021,101510,TRUE,TRUE,0,Kolkata,FALSE,None
GB000076,AGT00185,Chasmum Kibe,CUST000230,,Valid,30-11-2024,6179,TRUE,TRUE,1,Chennai,FALSE,None
GB000077,AGT00200,Yug Jayaraman,CUST001925,,Valid,01-05-2021,26063,TRUE,TRUE,1,Lucknow,FALSE,None
GB000078,AGT00184,Oviya Chakrabarti,CUST000757,,Valid,14-11-2024,59009,TRUE,TRUE,1,Chennai,FALSE,None
GB000079,AGT00156,Wishi Din,CUST002364,,Valid,30-04-2026,72011,TRUE,TRUE,1,Pune,FALSE,None
GB000080,AGT00272,Christopher Bal,CUST000849,POL000578,Valid,30-01-2020,141753,TRUE,TRUE,1,Nagpur,FALSE,None
GB000081,AGT00098,Mugdha Guha,CUST000762,,Valid,09-05-2020,73501,TRUE,TRUE,0,Kochi,FALSE,None
GB000082,AGT00230,Gopal Cherian,CUST003116,POL000740,Valid,29-12-2022,34566,TRUE,TRUE,1,Chandigarh,FALSE,None
GB000083,AGT00267,Faris Srinivas,CUST001101,,Valid,28-04-2020,118488,TRUE,TRUE,0,Pune,FALSE,None
GB000084,AGT00340,Pooja Mandal,CUST003138,POL000783,Suspended,02-07-2026,86849,FALSE,FALSE,5,Lucknow,TRUE,Premium Pocketing - No Remittance
GB000085,AGT00126,William Garde,CUST001206,POL000006,Valid,26-07-2020,62217,TRUE,TRUE,1,Hyderabad,FALSE,None
GB000086,AGT00330,Viraj Contractor,CUST001095,POL000163,Valid,31-03-2020,25939,TRUE,TRUE,1,Lucknow,FALSE,None
GB000087,AGT00363,Abha Mangat,CUST002110,,Valid,29-04-2020,80854,TRUE,TRUE,0,Hyderabad,FALSE,None
GB000088,AGT00244,Logan Ahluwalia,CUST001530,POL000858,Valid,08-09-2022,142409,TRUE,TRUE,0,Chandigarh,FALSE,None
GB000089,AGT00298,Wahab Sarraf,CUST001745,POL000718,Valid,25-07-2020,143095,TRUE,TRUE,1,Indore,FALSE,None
GB000090,AGT00151,Mahika Sahni,CUST001788,POL000193,Fake/Cloned,09-02-2021,79406,TRUE,FALSE,5,Ahmedabad,FALSE,None
GB000091,AGT00367,Sudiksha Aurora,CUST002717,POL000480,Never Issued,11-12-2025,104326,TRUE,FALSE,2,Kolkata,TRUE,Expired License Sales
GB000092,AGT00251,Farhan Datta,CUST001422,POL000378,Expired,21-04-2020,106888,FALSE,FALSE,3,Pune,TRUE,Premium Pocketing - No Remittance
GB000093,AGT00118,Dominic Wali,CUST001531,POL000241,Never Issued,05-09-2021,61916,TRUE,FALSE,3,Kochi,FALSE,None
GB000094,AGT00151,Mahika Sahni,CUST000238,,Expired,02-08-2022,15274,FALSE,TRUE,3,Ahmedabad,TRUE,Premium Pocketing - No Remittance
GB000095,AGT00231,Vamakshi Naik,CUST002170,POL000748,Valid,10-11-2023,86285,TRUE,TRUE,0,Chennai,FALSE,None
GB000096,AGT00089,Falan Talwar,CUST000078,,Valid,06-12-2021,25398,TRUE,TRUE,0,Bengaluru,FALSE,None
GB000097,AGT00288,Faraj Bose,CUST001361,POL000328,Valid,11-11-2024,82506,TRUE,TRUE,0,Delhi,FALSE,None
GB000098,AGT00087,Chaman Butala,CUST000059,POL000050,Never Issued,03-01-2026,31135,TRUE,FALSE,5,Ahmedabad,TRUE,Unlicensed Selling
GB000099,AGT00222,Max Pandey,CUST000203,POL000002,Fake/Cloned,19-12-2025,113096,FALSE,FALSE,8,Mumbai,TRUE,Premium Pocketing - No Remittance
GB000100,AGT00258,Zarna Tella,CUST001930,POL000913,Valid,13-04-2020,128843,TRUE,TRUE,0,Jaipur,FALSE,None
GB000101,AGT00330,Viraj Contractor,CUST001344,POL000789,Valid,31-01-2022,12412,TRUE,TRUE,0,Lucknow,FALSE,None
GB000102,AGT00278,Rishi Oza,CUST002782,,Valid,01-08-2022,147365,TRUE,TRUE,1,Kolkata,FALSE,None
GB000103,AGT00306,Qarin Sankar,CUST003187,POL000188,Valid,27-04-2022,145266,TRUE,TRUE,0,Delhi,FALSE,None
GB000104,AGT00349,Mason Raj,CUST002607,,Valid,17-06-2020,114283,TRUE,TRUE,1,Chennai,FALSE,None
GB000105,AGT00223,Tripti Dey,CUST001587,POL000142,Valid,11-09-2022,92182,TRUE,TRUE,0,Pune,FALSE,None
GB000106,AGT00326,Devansh Sastry,CUST002992,,Valid,12-01-2023,95301,TRUE,TRUE,1,Lucknow,FALSE,None
GB000107,AGT00088,Xavier Jha,CUST002094,POL000711,Never Issued,16-04-2020,38219,TRUE,FALSE,8,Bengaluru,TRUE,Fake/Cloned Agent Identity
GB000108,AGT00311,Ikbal Rama,CUST002698,,Never Issued,03-06-2022,36507,TRUE,FALSE,3,Bengaluru,TRUE,Fake/Cloned Agent Identity
GB000109,AGT00087,Chaman Butala,CUST002958,POL000131,Expired,09-09-2025,57591,TRUE,TRUE,8,Ahmedabad,FALSE,None
GB000110,AGT00358,Janaki Buch,CUST001985,,Valid,03-09-2020,88468,TRUE,TRUE,1,Ahmedabad,FALSE,None
GB000111,AGT00125,Yahvi Sood,CUST003096,,Suspended,02-04-2024,90836,FALSE,FALSE,8,Chandigarh,TRUE,Premium Pocketing - No Remittance
GB000112,AGT00068,Hiral Ratta,CUST000153,POL000251,Valid,25-06-2025,89765,TRUE,TRUE,1,Jaipur,FALSE,None
GB000113,AGT00055,Oviya Saran,CUST001053,,Valid,02-09-2025,138939,TRUE,TRUE,1,Indore,FALSE,None
GB000114,AGT00073,Champak Anne,CUST002746,POL000517,Valid,12-05-2021,75644,TRUE,TRUE,0,Pune,FALSE,None
GB000115,AGT00170,Isha Kothari,CUST001159,,Valid,03-05-2022,4943,TRUE,TRUE,1,Chandigarh,FALSE,None
GB000116,AGT00195,Laban Kapoor,CUST000351,,Never Issued,30-10-2020,147595,FALSE,TRUE,2,Delhi,TRUE,Premium Pocketing - No Remittance
GB000117,AGT00350,Faras Kapur,CUST001654,POL000594,Valid,22-11-2023,102764,TRUE,TRUE,1,Delhi,FALSE,None
GB000118,AGT00144,Manbir Roy,CUST002294,POL000603,Suspended,11-11-2020,68028,FALSE,FALSE,1,Chennai,TRUE,Premium Pocketing - No Remittance
GB000119,AGT00086,Upkaar Chanda,CUST000151,POL000355,Valid,27-02-2025,140990,TRUE,TRUE,0,Delhi,FALSE,None
GB000120,AGT00283,Faraj Bhandari,CUST000913,,Valid,04-10-2020,27185,TRUE,TRUE,1,Ahmedabad,FALSE,None
GB000121,AGT00051,Udyati Nagy,CUST000350,,Valid,25-06-2021,22402,TRUE,TRUE,0,Chennai,FALSE,None
GB000122,AGT00340,Pooja Mandal,CUST001305,,Expired,27-02-2022,95860,FALSE,TRUE,7,Lucknow,TRUE,Premium Pocketing - No Remittance
GB000123,AGT00152,Dayamai Halder,CUST002349,POL000051,Expired,21-12-2020,24134,TRUE,FALSE,7,Ahmedabad,TRUE,Unlicensed Selling
GB000124,AGT00229,Ayushman Dutt,CUST002524,,Valid,27-03-2024,31505,TRUE,TRUE,0,Lucknow,FALSE,None
GB000125,AGT00073,Champak Anne,CUST000292,,Valid,11-05-2023,116250,TRUE,TRUE,0,Pune,FALSE,None
GB000126,AGT00054,Harshil Mall,CUST002583,POL000208,Valid,06-09-2020,2268,TRUE,TRUE,1,Ahmedabad,FALSE,None
GB000127,AGT00306,Qarin Sankar,CUST002973,POL000093,Valid,12-04-2020,72097,TRUE,TRUE,0,Delhi,FALSE,None
GB000128,AGT00161,Teerth Mandal,CUST000453,POL000560,Valid,31-01-2024,56197,TRUE,TRUE,1,Chandigarh,FALSE,None
GB000129,AGT00373,Pahal Pandya,CUST001213,,Valid,13-09-2025,143343,TRUE,TRUE,1,Jaipur,FALSE,None
GB000130,AGT00196,Charvi Mukhopadhyay,CUST001741,POL000788,Valid,15-06-2021,103958,TRUE,TRUE,1,Kolkata,FALSE,None
GB000131,AGT00325,Fariq Malhotra,CUST002936,,Valid,12-07-2021,118859,TRUE,TRUE,0,Kochi,FALSE,None
GB000132,AGT00371,Ojas Bora,CUST000468,,Never Issued,07-06-2024,8512,TRUE,FALSE,1,Coimbatore,TRUE,Fake/Cloned Agent Identity
GB000133,AGT00109,Chatresh Sastry,CUST002418,POL000206,Never Issued,15-07-2023,64968,TRUE,FALSE,6,Chandigarh,FALSE,None
GB000134,AGT00307,Dalaja Balay,CUST001266,,Valid,23-02-2022,122534,TRUE,TRUE,0,Chandigarh,FALSE,None
GB000135,AGT00006,Kalpit Setty,CUST000844,POL000299,Valid,18-01-2020,61757,TRUE,TRUE,1,Pune,FALSE,None
GB000136,AGT00254,Arin Kapur,CUST001089,POL000793,Expired,01-02-2023,108753,TRUE,FALSE,6,Kolkata,TRUE,Unlicensed Selling
GB000137,AGT00284,Reva Gole,CUST000382,POL000665,Valid,31-05-2020,131282,TRUE,TRUE,1,Coimbatore,FALSE,None
GB000138,AGT00183,Triya Bala,CUST002354,,Fake/Cloned,27-08-2024,97381,TRUE,TRUE,1,Ahmedabad,TRUE,Fake/Cloned Agent Identity
GB000139,AGT00063,Bhavani Deep,CUST001007,POL000321,Valid,22-05-2022,144836,TRUE,TRUE,0,Kolkata,FALSE,None
GB000140,AGT00230,Gopal Cherian,CUST001208,,Valid,08-12-2023,109915,TRUE,TRUE,0,Chandigarh,FALSE,None
GB000141,AGT00341,Aryan Narain,CUST000030,POL000539,Valid,12-01-2023,67679,TRUE,TRUE,1,Mumbai,FALSE,None
GB000142,AGT00356,Tamanna Murty,CUST002349,POL000687,Valid,24-08-2023,73239,TRUE,TRUE,0,Kochi,FALSE,None
GB000143,AGT00284,Reva Gole,CUST002526,,Valid,20-03-2023,95386,TRUE,TRUE,0,Coimbatore,FALSE,None
GB000144,AGT00105,Indira Lanka,CUST001947,POL000987,Expired,02-07-2021,142878,TRUE,FALSE,1,Coimbatore,FALSE,None
GB000145,AGT00332,Edhitha Barman,CUST002967,POL000411,Valid,23-08-2026,139166,TRUE,TRUE,0,Chennai,FALSE,None
GB000146,AGT00339,Kamya Sagar,CUST003200,,Valid,10-11-2026,17158,TRUE,TRUE,0,Coimbatore,FALSE,None
GB000147,AGT00139,Indali Kurian,CUST002497,,Valid,28-07-2026,115523,TRUE,TRUE,1,Hyderabad,FALSE,None
GB000148,AGT00072,Harshil Balakrishnan,CUST002732,POL000750,Fake/Cloned,14-08-2024,28209,FALSE,FALSE,3,Hyderabad,TRUE,Premium Pocketing - No Remittance
GB000149,AGT00335,Wahab Palla,CUST001797,POL000404,Valid,06-03-2025,14763,TRUE,TRUE,0,Hyderabad,FALSE,None
GB000150,AGT00338,Warjas Jani,CUST000230,,Fake/Cloned,10-01-2021,43105,TRUE,TRUE,2,Chandigarh,TRUE,Fake/Cloned Agent Identity
GB000151,AGT00036,Harshil Muni,CUST002893,POL000263,Valid,26-07-2020,101408,TRUE,TRUE,0,Mumbai,FALSE,None
GB000152,AGT00369,Upma Chaudhuri,CUST002226,POL000347,Suspended,04-05-2024,86776,TRUE,FALSE,4,Lucknow,TRUE,Fake/Cloned Agent Identity
GB000153,AGT00198,Ekalinga Acharya,CUST001065,,Valid,04-04-2021,104423,TRUE,TRUE,0,Delhi,FALSE,None
GB000154,AGT00377,Isha Sen,CUST000988,POL000622,Valid,07-12-2026,145582,TRUE,TRUE,1,Bengaluru,FALSE,None
GB000155,AGT00169,Theodore Balay,CUST002355,POL000467,Valid,01-05-2020,119747,TRUE,TRUE,0,Pune,FALSE,None
GB000156,AGT00198,Ekalinga Acharya,CUST000869,POL000813,Valid,22-07-2025,68344,TRUE,TRUE,1,Delhi,FALSE,None
GB000157,AGT00105,Indira Lanka,CUST000793,,Suspended,17-02-2023,66945,TRUE,FALSE,2,Coimbatore,FALSE,None
GB000158,AGT00342,Gautami Reddy,CUST002722,,Valid,07-09-2020,132717,TRUE,TRUE,0,Nagpur,FALSE,None
GB000159,AGT00168,Rachana Buch,CUST001166,POL000463,Valid,05-02-2025,62264,TRUE,TRUE,0,Kochi,FALSE,None
GB000160,AGT00311,Ikbal Rama,CUST000518,POL000474,Expired,15-08-2023,84471,TRUE,FALSE,0,Bengaluru,TRUE,Expired License Sales
GB000161,AGT00027,Tarak Patla,CUST000824,,Fake/Cloned,25-09-2025,145998,TRUE,TRUE,8,Nagpur,TRUE,Expired License Sales
GB000162,AGT00302,Darpan Mallick,CUST000620,POL000618,Expired,14-06-2022,121050,FALSE,FALSE,4,Lucknow,TRUE,Premium Pocketing - No Remittance
GB000163,AGT00187,Maya Dass,CUST000493,POL000133,Never Issued,11-04-2026,133185,TRUE,TRUE,3,Mumbai,FALSE,None
GB000164,AGT00001,Manya Lad,CUST002279,POL000973,Never Issued,13-10-2024,50213,TRUE,FALSE,7,Hyderabad,TRUE,Unlicensed Selling
GB000165,AGT00088,Xavier Jha,CUST002259,POL000701,Fake/Cloned,24-12-2021,136664,TRUE,FALSE,8,Bengaluru,FALSE,None
GB000166,AGT00077,Charles Lad,CUST002346,POL000914,Suspended,28-12-2024,113695,TRUE,FALSE,2,Pune,TRUE,Expired License Sales
GB000167,AGT00287,Mitali Srinivas,CUST000214,POL000692,Valid,05-08-2020,25552,TRUE,TRUE,1,Kolkata,FALSE,None
GB000168,AGT00183,Triya Bala,CUST000595,POL000932,Fake/Cloned,12-07-2025,62898,TRUE,FALSE,0,Ahmedabad,FALSE,None
GB000169,AGT00062,Andrew Agrawal,CUST001694,,Valid,30-01-2025,53118,TRUE,TRUE,0,Bengaluru,FALSE,None
GB000170,AGT00101,Triya Chhabra,CUST003077,POL000174,Valid,30-08-2023,20744,TRUE,TRUE,0,Coimbatore,FALSE,None
GB000171,AGT00191,Gunbir Mannan,CUST000836,,Never Issued,12-09-2024,23046,FALSE,TRUE,7,Coimbatore,TRUE,Premium Pocketing - No Remittance
GB000172,AGT00005,Farhan Raja,CUST000444,POL000885,Fake/Cloned,26-08-2021,82365,TRUE,FALSE,0,Nagpur,TRUE,Unlicensed Selling
GB000173,AGT00158,Nicholas Mitter,CUST002469,POL000542,Valid,16-10-2020,108908,TRUE,TRUE,0,Jaipur,FALSE,None
GB000174,AGT00254,Arin Kapur,CUST000239,POL000597,Suspended,24-08-2021,65932,TRUE,TRUE,2,Kolkata,TRUE,Expired License Sales
GB000175,AGT00195,Laban Kapoor,CUST000954,POL000293,Expired,20-05-2024,127464,TRUE,FALSE,8,Delhi,TRUE,Fake/Cloned Agent Identity
GB000176,AGT00223,Tripti Dey,CUST003093,,Valid,01-09-2021,109229,TRUE,TRUE,1,Pune,FALSE,None
GB000177,AGT00125,Yahvi Sood,CUST002395,,Fake/Cloned,11-06-2026,24084,TRUE,FALSE,0,Chandigarh,FALSE,None
GB000178,AGT00072,Harshil Balakrishnan,CUST002732,POL000750,Suspended,19-06-2021,37398,TRUE,FALSE,3,Hyderabad,TRUE,Expired License Sales
GB000179,AGT00309,Tarak Bala,CUST002058,,Never Issued,26-01-2022,98219,TRUE,FALSE,7,Jaipur,FALSE,None
GB000180,AGT00345,Bina Doctor,CUST002867,POL000765,Valid,19-12-2020,137272,TRUE,TRUE,1,Kolkata,FALSE,None
GB000181,AGT00192,Garima Bhat,CUST000087,,Valid,04-01-2022,109987,TRUE,TRUE,0,Chennai,FALSE,None
GB000182,AGT00118,Dominic Wali,CUST002593,,Fake/Cloned,22-08-2020,3039,FALSE,TRUE,6,Kochi,TRUE,Premium Pocketing - No Remittance
GB000183,AGT00192,Garima Bhat,CUST001048,POL000630,Valid,01-11-2020,90374,TRUE,TRUE,0,Chennai,FALSE,None
GB000184,AGT00337,Isaiah Vaidya,CUST000916,POL000079,Valid,07-02-2023,100611,TRUE,TRUE,1,Indore,FALSE,None
GB000185,AGT00257,Falan Warrior,CUST002921,,Fake/Cloned,19-06-2026,138706,TRUE,FALSE,6,Kolkata,FALSE,None
GB000186,AGT00329,Owen Din,CUST001363,,Valid,02-11-2022,65899,TRUE,TRUE,1,Mumbai,FALSE,None
GB000187,AGT00125,Yahvi Sood,CUST002763,,Never Issued,23-01-2026,2724,TRUE,FALSE,1,Chandigarh,TRUE,Expired License Sales
GB000188,AGT00266,Hiral Bobal,CUST000004,,Valid,22-02-2020,88590,TRUE,TRUE,0,Nagpur,FALSE,None
GB000189,AGT00247,Ranveer Johal,CUST003095,,Valid,24-04-2023,134527,TRUE,TRUE,1,Indore,FALSE,None
GB000190,AGT00212,Hredhaan Shetty,CUST003070,POL000948,Valid,02-10-2020,113966,TRUE,TRUE,0,Chennai,FALSE,None
GB000191,AGT00197,Vedhika Iyer,CUST000348,POL000419,Fake/Cloned,30-10-2026,73628,TRUE,FALSE,5,Pune,TRUE,Expired License Sales
GB000192,AGT00204,Qarin Keer,CUST003150,POL000541,Valid,27-07-2026,41456,TRUE,TRUE,0,Indore,FALSE,None
